id,title,author,text,label
Darrell Lucus,"""House Dem Aide: We Didn’t Even See Comey’s Letter Until Jason Chaffetz Tweeted It By Darrell Lucus on October 30", 2016 Subscribe Jason Chaffetz on the stump in American Fork, Utah ( image courtesy Michael Jolley, available under a Creative Commons-BY license) 
 it looks like we also know who the second-worst person is as well. It turns out that when Comey sent his now-infamous letter announcing that the FBI was looking into emails that may be related to Hillary Clinton’s email server, the ranking Democrats on the relevant committees didn’t hear about it from Comey. They found out via a tweet from one of the Republican committee chairmen. ,,,
 Judiciary, and Oversight committees that his agency was reviewing emails it had recently discovered in order to see if they contained classified information. Not long after this letter went out, Oversight Committee Chairman Jason Chaffetz set the political world ablaze with this tweet. FBI Dir just informed me," """"The FBI has learned of the existence of emails that appear to be pertinent to the investigation."""" Case reopened ",
,,,,
 and possibly an entire term’s worth of them. Apparently Chaffetz thought the FBI was already doing his work for him–resulting in a tweet that briefly roiled the nation before cooler heads realized it was a dud. ,,,,
 the Democratic Ranking Members didn’ receive it until after the Chairman of the Oversight and Government Reform Committee, Jason Chaffetz, tweeted it out and made it public.” ,,
 according to this aide, he made them find out about it on Twitter. ,,,
 but there is nothing so far that even suggests this is the case. After all, there is nothing so far that suggests that Comey was anything other than grossly incompetent and tone-deaf. ,,,
 is that Chaffetz is acting in a way that makes Dan Burton and Darrell Issa look like models of responsibility and bipartisanship. He didn’t even have the decency to notify ranking member Elijah Cummings about something this explosive. If that doesn’t trample on basic standards of fairness, I don’t know what does. ,,,
 and gave Mitt Romney a punishing 78 percent of the vote in 2012. Moreover, the Republican House leadership has given its full support to Chaffetz’ planned fishing expedition. But that doesn’t mean we can’t turn the hot lights on him. After all, he is a textbook example of what the House has become under Republican control. And he is also the Second Worst Person in the World. About Darrell Lucus ,,
,,,,
Consortiumnews.com,"""Why the Truth Might Get You Fired October 29", 2016 ,,
 as in the Iraq War, writes Lawrence Davidson. ,,,
,,,,
 but the lessons are probably universal. ,,,,
 Saddam Hussein, was on the verge of developing nuclear weapons and was hiding other weapons of mass destruction. The real reason went beyond that charge and included a long-range plan for “regime change” in the Middle East. President George W. Bush and Vice President Dick Cheney receive an Oval Office briefing from CIA Director George Tenet. Also present is Chief of Staff Andy Card (on right). (White House photo) ,,,
,,,,
 to believe it as a rationale for invading Iraq. At first he had tried to connect Saddam Hussein to the 9/11 attacks on the U.S. Though he never gave up on that stratagem, the lack of evidence made it difficult to rally an American people, already fixated on Afghanistan, to support a war against Baghdad. ,
 but because supposedly reliable witnesses, in the persons of exiled anti-Saddam Iraqis (many on the U.S. government’s payroll ), kept telling Bush and his advisers that the nuclear story was true. ,,
 in order to precipitate the overthrow of Saddam, were willing to tell the tale of pending atomic weapons. The strong desire to believe the tale of a nuclear Iraq lowered the threshold for proof . Likewise, the repeated assertions by assumed dependable Iraqi sources underpinned a nationwide U.S. campaign generating both fear and war fever. ,,
,,,,
 Bush launched the invasion of Iraq with the expectation was that, once in occupation of the country, U.S. inspectors would surely find evidence of those nukes (or at least stockpiles of chemical and biological weapons). They did not. Their Iraqi informants had systematically lied to them. ,,
,,,,
 and the National Academies of Sciences, Engineering and Medicine . The result of this collaboration will be a “ permanent Intelligence Community Studies Board” to coordinate programs in “social and behavioral science research [that] might strengthen national security .” ,,,
 it might well make no difference, because the real problem is not to be found with the liars. It is to be found with the believers. ,,,
,,,,
” they usually know it. However, having an accurate grasp of things is often to no avail because their superiors – those who got their appointments by accepting a pre-structured worldview – have different criterion for what is “true” than do the analysts. ,,,
 Gaukel has declared, “ We’re looking for truth. But we’re particularly looking for truth that works. ” Now what might that mean? ,,,
 fit with, their worldview – their political and ideological precepts. If it does not fit, it does not “work.” So the intelligence specialists who send their usually accurate assessments up the line to the policy makers often hit a roadblock caused by “group think,” ideological blinkers, and a “we know better” attitude. 
,,,,
 that it is the source of Shakespeare’s determination that “what is past," is prelude.” Our elites play out our destinies as if they have no free will – no capacity to break with structured ways of seeing. Yet the middle-echelon specialists keep sending their relatively accurate assessments up the ladder of power. Hope springs eternal.""",1,,
Jessica Purkiss,"""Videos 15 Civilians Killed In Single US Airstrike Have Been Identified The rate at which civilians are being killed by American airstrikes in Afghanistan is now higher than it was in 2014 when the US was engaged in active combat operations.   Photo of Hellfire missiles being loaded onto a US military Reaper drone in Afghanistan by Staff Sgt. Brian Ferguson/U.S. Air Force. ",,,
,,,,
,,,,
,,,,
 was among them. Another man, Abdul Hakim, lost three of his sons in the attack. ,,
,,,,
,,,,
,,,,
 killing one officer, before returning to target first responders. The use of this tactic – known as a “double-tap” strike – is controversial because they often hit civilian rescuers. ,,,
,,,,
,,,,
,,,,
,,,,
Howard Portnoy,"""Print ",,,
,,,,
 is the wife of political prisoner Arash Sadeghi, 36, who is serving a 19-year prison sentence for being a human rights activist, the publication reported. ,
” the article stated. ,,,,
"” the article stated. “The narrative followed the story of a protagonist that watched a movie about stoning of women under Islamic law for adultery.""",1,,,
" Transcontinental Flights""",,"""Ever wonder how Britain’s most iconic pop pianist gets through a long flight? Here are the six pictures of sharks Sir Elton John likes to stare at to pass the time on an airplane. 1. A Shark Swimming ",,
 and then quickly retract it to mark the animal’s triumphant return. He will often repeat this act dozens of times per flight. 2. A Great White Shark Leaping Into The Air ,,,,
 sometimes holding it a mere 3-to-4 inches away from his face while he fixates upon the shark’s beady eyes. 3. A Shark On The Prowl ,,,,
,,,,
 often without blinking for minutes at a time. 5. The Poster For Jaws ,,,,
 gently tracing the shark’s teeth with his finger as he stares lovingly into its gaping mouth. 6. Pilot’s Choice ,,,,
" and hand it to the visibly excited musician prior to takeoff. So yeah—it’s good to be Elton!""",1,,,
 the German army progressed deep into Russian territory, gaining ground close to the capital Moscow, before the Russians could counter-attack, eventually driving the Nazis back.,
 located 620 miles from the North Pole.,,,,
" but now we also have real proof.”""",1,,,
Jason Ditz,"""Clinton Campaign Demands FBI Affirm Trump's Russia Ties   ",,,
,,,,
 say they’ve turned up nothing to connect Trump and Russia , leading FBI Director James Comey to decide against making any statements to that effect. ,,,
,,,,
,,,,
 however," it appears that won’t be happening.  """,1,,
,,,,
,,,,
 fake victim blog posts (pretending to be a victim of the individual whose reputation they want to destroy), and posting “ negative information ” on various forums. ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 the two-party political system, the “war on terror” and even alternative medicine are among the most common targets of such attackers, known as internet “trolls” or “shills,” who in many cases are nothing more than paid lackeys hired by the federal government and other international organizations to sway and ultimately control public opinion . ,
 as well as the activities of certain dissenting individuals. This report, which in obvious whitewashing language referred to such activities as the government simply “ weighing in and correcting ” allegedly false information posted online, basically admitted that the Canadian government had assumed the role of secret online police . ,,
,,,,
,,,,
,,,,
,,,,
 all you have to do is to look at their official documents to see who they consider the “problems” to be. For much more on this, please see my previous article entitled “ 72 Types Of Americans That Are Considered ‘Potential Terrorists’ In Official Government Documents “. ,,,
 and eventually a time will likely come when we will not be able to communicate openly like this any longer. ,,,,
,,,,
,,,,
 according to multiple people familiar with the meetings. ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 thinks radical leftism is the only permissible political philosophy, and the First Amendment only hinders colleges from brainwashing students with her viewpoint. ,,,
 in which she insists Harvard stop guaranteeing students and professors the right to hold controversial views and conduct research putting liberalism in a negative light. ,,,,
 and heterosexism, why should we put up with research that counters our goals?” Korn asks. ,,,
,,,,
,,,,
,,,,
 forums and websites. ,,,,
,,,,
,,,,
,,,,
,,,,
 people will not face the truth. This information will only help a very few. For those of you still sitting on the fence. How much more evidence do you need? How many more ways does the Government have to mess with you? What will it finally take, to say enough? Rodster ,,,
,,,,
 people will not face the truth.” ,,,,
,,,,
 then Mars could have had a thick enough atmosphere and water to support life! More important it might have had a thick magnetic layer that filtered out the Sun and kept the planet temperate at one time. All of which was ruined as Venus dragged it out of orbit. That might have happened in biblical times. The Earth might have been slightly closer to the Sun with a 360 day year instead of 365 and a quarter day year. This of course is all speculation until we go out there and find out the real truth of what is going on. My own guess is that if there is life on Mars it is in caves under the surface with a slightly heavier atmosphere and possibly seas in these huge caverns. If there is any surface life left, it is likely to be about the size of a dog or a racoon. If there is large life, I suspect it will be Sand Worms deep in the sands of Mars. I mention this because it is very easy to ridicule ideas. The one I just told you about actually happened in the 50s and was ridiculed coast to coast by actual scientists. We are in a universe with over 100 billion galaxies out there. The number of stars with life possible is at a fantastic number. If one in a million stars has life, that is still a whole lot of life out there. The only explanation that makes sense to me is we are far off the trade lanes between the stars. Otherwise we would have been contacted years ago. Or have we been? I suggest that when a civilization reaches the level of using Atomic Bombs then that civilization bares watching. We had a lot of UFO activity after World War II and the setting off of bombs all over the planet as governments tested these weapons. Governments all over the world that are big enough are probably hiding a lot of things from all of us. I think we might all be amazed at just exactly what has been withheld. NowAlive ,
 what about the oils raining down all over the Earth? I was quite young when Valdez crashed. The oil rig explosion in the Gulf is more recent. The hydrocarbon dumping would have killed off most life on the planet. Basically my point is that observational science shows that virtually none of what you just stated has been proven or even has any legitimate evidence. It’s wild speculation. I’m not an astrophysicist, but I doubt you are either. The governments hiding things is obvious. This in no way shows life on Mars or Venus dumping oil or switching orbital positions. It does not even slightly point to alien visitations or life. I’m not trying to offend you. I’m just trying to understand what you just said in a way that shows there is some evidence for it. DJohn1 ,,,
 there is a good possibility that the Moon will have some fairly large deposits of oil under the surface. There is a lot of unexplained discoloration on face of the Moon. If there is oil under the surface of the Moon, it might also mean that the Moon was a small planet at one time with an atmosphere and life. Again, I am speculating. The theory did not come from astrophysics. It came from examining a lot of stories all over the planet from the approximate time of Moses. That was Velinkovsky’s specialty, ancient languages and psychology of ancient cultures. Rastus ,
,,,,
,,,,
,,,,
,,,,
 when the entire newspaper business stopped mud raking and went with bland stories handed out by the wire services. It appears stirring up things has legal penalties and newspapers do not want to get hung up in legal battles. So they run news from wire services and leave the real reporting to others. Making advertisers angry has financial penalties as well, so lord help the reporter that angers an advertiser. Everything is wrapped up in money motivations. That above anything else is what has destroyed the country’s estate that used to bring down the crooked politicians. The only way this related to planetary formation is that this media was used to go against this man by scientists that were angry at his claims. These scientists literally boycotted the publishers willing to pub his work. My own thought is that controling the scientific discovery press is just as bad. Jonathon von Tischner ,,,
,,,,
,,,,
 now I think of this perverted looking plastic muppet who barks out this “take from the rich, give to me” mantra. Must be very weird living in that world… Chris ,,,
,,,,
 relatively speaking. blackciti_fo5 ,,,,
,,,,
 and primarily freedom of speech and ideas. Any who would seek to deter that freedom are as tumors on the political body of this country, and as such should be excised lest their disease continue to spread. Goebbels and Bernays would be proud of such people, but they have no place in a truly free country. Nicholas Mull ,,
,,,,
,,,,
,,,,
,,,,
 or God or just finishes a post with “God help us”…then trolls who never post anything else will pounce in and start attacking God—I think the true motive is to turn the conversation toward one of atheism/religion/creation instead of the topic of the article… You see it from the same people over and over–then they disappear and someone new with a different moniker will take their place ( quite possibly the same shill but different name.) All said, they are very effective at distraction if one reads through the comments, they often take over an entire article and it never gets back on topic. Gay Veteran ,,
,,,,
,,,,
 there is no differences between the 2 parties ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
